num,place ,circuit,sprintHour,race_hour
1,"THAILAND, BURIRAM",Chang International Circuit,28/02/2026 09:00:00,01/03/2026 09:00:00
2,"BRAZIL,GOIÂNIA",Autódromo Internacional de Goiânia – Ayrton Senna,21/03/2026 19:00,22/03/2026 19:00:00
3,"USA, AUSTIN",Circuit Of The Americas,28/03/2026 21:00:00,29/03/2026 22:00:00
4,"QATAR, LUSAIL",Lusail International Circuit,11/04/2026 19:00:00,12/04/2026 19:00:00
5,"SPAIN, JEREZ",Circuito de Jerez - Ángel Nieto,25/04/2026 15:00:00,26/04/2026 14:00:00
6,"FRANCE, LE MANS",Le Mans,09/05/2026 15:00:00,10/05/2026 14:00:00
7,"CATALONIA, BARCELONA",Circuit de Barcelona-Catalunya,16/05/2026 15:00:00,17/05/2026 14:00:00
8,"ITALY, MUGELLO",Autodromo Internazionale del Mugello,30/05/2026 15:00:00,31/05/2026 14:00:00
9,"HUNGARY, BALATON",Balaton Park,06/06/2026 15:00,07/06/2026 14:00
10,"CZECHIA, BRNO",Automotodrom Brno,20/06/2026 15:00,21/06/2026 14:00:00
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
