Num_pilote,Name,Country,Team
5,Johann Zarco,France,CASTROL Honda LCR
7,Toprak Razgatlioglu,Turquie,Prima Pramac Yamaha MotoGP
10,Luca Marini,Italie,Honda HRC Castrol 
11,Diogo Moreira,Brésil,Honda LCR
12,Maverick Vañales,Espagne,Red Bull KTM Tech3
20,Fabio Quartararo,France,Monster Energy Yamaha MotoGp
21,Franco Morbidelli,Italie,Pertamina Enduro VR46 Racing Team
23,Enea Bastianini,Italie,Red Bull KTM Tech3
25,Raul Fernandez,Espagne,Trackhouse MotoGP Team
33,Brad Binder,Afrique du sud ,Red Bull KTM Factory racing
36,Joan Mir ,Espagne,Honda HRC Castrol 
37,Pedro Acosta,Espagne,Red Bull KTM Factory racing
42,Alex Rins,Espagne,Monster Energy Yamaha MotoGp
43,Jack Miller ,Autralie,Prima Pramac Yamaha MotoGP
49,Fabio Di Giannantonio ,Italie,Pertamina Enduro VR46 Racing Team
54,Fermin Aldeger,Espagne,BK8 Gresini Racing MotoGp
63,Francesco Bagnaia,Italie,Ducati Lenovo team
72,Marco Bezzechi,Italie,Aprilia Racing
72,Alex Marquez,Espagne ,BK8 Gresini Racing MotoGp
79,Ai Ogura,Japon ,Trackhouse MotoGP Team
89,jorge Martin,Espagne ,Aprilia Racing
93,Marc Marquez,Espagne,Ducati Lenovo team
